Price,equity
Ticker,
Date,
2020-03-13,10000.0
2020-03-16,10000.0
2020-03-17,10000.0
2020-03-18,10000.0
2020-03-19,10000.0
2020-03-20,10000.0
2020-03-23,10000.0
2020-03-24,10000.0
2020-03-25,10000.0
2020-03-26,10000.0
2020-03-27,10000.0
2020-03-30,10000.0
2020-03-31,10000.0
2020-04-01,10000.0
2020-04-02,10000.0
2020-04-03,10000.0
2020-04-06,10000.0
2020-04-07,10000.0
2020-04-08,10000.0
2020-04-09,10000.0
2020-04-13,10000.0
2020-04-14,10000.0
2020-04-15,10000.0
2020-04-16,10000.0
2020-04-17,10000.0
2020-04-20,10000.0
2020-04-21,10000.0
2020-04-22,10000.0
2020-04-23,10000.0
2020-04-24,10000.0
2020-04-27,10000.0
2020-04-28,10000.0
2020-04-29,10000.0
2020-04-30,10000.0
2020-05-01,9839.008360475935
2020-05-04,9978.2207803433
2020-05-05,10127.980295196257
2020-05-06,10232.47631252171
2020-05-07,10338.326283504583
2020-05-08,10584.40011316948
2020-05-11,10750.946076460266
2020-05-12,10628.082029620557
2020-05-13,10499.759219581541
2020-05-14,10564.260455158204
2020-05-15,10501.80464520992
2020-05-18,10749.241018246164
2020-05-19,10687.124501997916
2020-05-20,10894.96980983984
2020-05-21,10813.743327537066
2020-05-22,10883.366180041476
2020-05-26,10809.651402566067
2020-05-27,10856.749877730788
2020-05-28,10861.5268323873
2020-05-29,10850.946452260248
2020-06-01,10984.388731798532
2020-06-02,11035.239838234214
2020-06-03,11095.989516254156
2020-06-04,11000.43002255337
2020-06-05,11313.733395680341
2020-06-08,11380.623645442378
2020-06-09,11740.003317777004
2020-06-10,12042.04342851989
2020-06-11,11463.899848230492
2020-06-12,11562.872679502203
2020-06-15,11705.872089496228
2020-06-16,12016.106787323513
2020-06-17,11999.3815405974
2020-06-18,12004.15956896815
2020-06-19,11935.558892420808
2020-06-22,12247.841163304953
2020-06-23,12509.266959182212
2020-06-24,12288.451183313618
2020-06-25,12451.58917760468
2020-06-26,12069.005466816052
2020-06-29,12347.155435705181
2020-06-30,12450.223413090613
2020-07-01,12426.675786079613
2020-07-02,12426.675786079613
2020-07-06,12759.092346403831
2020-07-07,12719.500207495272
2020-07-08,13015.739040196097
2020-07-09,13071.710689845288
2020-07-10,13094.577582027736
2020-07-13,13034.17041885055
2020-07-14,13249.866725219876
2020-07-15,13340.988557964187
2020-07-16,13176.830535144536
2020-07-17,13150.20993797689
2020-07-20,13427.335583480466
2020-07-21,13242.015726692473
2020-07-22,13279.215630272935
2020-07-23,12674.792893944403
2020-07-24,12643.393194691762
2020-07-27,12943.045364963515
2020-07-28,12730.424176179318
2020-07-29,12974.447211644636
2020-07-30,13131.438191908155
2020-07-31,14506.149966741688
2020-08-03,14871.671284532651
2020-08-04,14970.98555693288
2020-08-05,15025.248927225242
2020-08-06,15549.47057835079
2020-08-07,15195.943722341775
2020-08-10,15416.81211020816
2020-08-11,14958.31787632206
2020-08-12,15455.447569728327
2020-08-13,15728.971977668873
2020-08-14,15714.952490829122
2020-08-17,15673.923722266614
2020-08-18,15804.532469923905
2020-08-19,15824.361824519643
2020-08-20,16175.497518914799
2020-08-21,17009.06053761944
2020-08-24,17212.492879932423
2020-08-25,17071.28764643447
2020-08-26,17303.44077096975
2020-08-27,17096.58972251464
2020-08-28,17068.891116249408
2020-08-31,17647.741200509132
2020-09-01,18350.691176699514
2020-09-02,17970.495406382026
2020-09-03,16531.76127252315
2020-09-04,16542.704568063527
2020-09-08,15429.462611391118
2020-09-09,16044.893066114466
2020-09-10,15521.091237256998
2020-09-11,15317.317453815498
2020-09-14,15776.836011087145
2020-09-15,15801.453057481802
2020-09-16,15335.096014211655
2020-09-17,15090.291314779168
2020-09-18,14611.625211454573
2020-09-21,15054.734193986855
2020-09-22,15291.335716621019
2020-09-23,14649.920303560468
2020-09-24,14800.358405813497
2020-09-25,15355.610398492912
2020-09-28,15722.13134424189
2020-09-29,15603.151995524739
2020-09-30,15838.380237645153
2020-10-01,15972.406617730332
2020-10-02,15456.814407956635
2020-10-05,15456.814407956635
2020-10-06,15456.814407956635
2020-10-07,15456.814407956635
2020-10-08,15456.814407956635
2020-10-09,15456.814407956635
2020-10-12,15456.814407956635
2020-10-13,15456.814407956635
2020-10-14,15456.814407956635
2020-10-15,15456.814407956635
2020-10-16,15456.814407956635
2020-10-19,15456.814407956635
2020-10-20,15456.814407956635
2020-10-21,15456.814407956635
2020-10-22,15456.814407956635
2020-10-23,15456.814407956635
2020-10-26,15456.814407956635
2020-10-27,15456.814407956635
2020-10-28,15456.814407956635
2020-10-29,15456.814407956635
2020-10-30,15456.814407956635
2020-11-02,15456.814407956635
2020-11-03,15456.814407956635
2020-11-04,15456.814407956635
2020-11-05,15456.814407956635
2020-11-06,15439.25350938059
2020-11-09,15130.959573432745
2020-11-10,15085.431733217325
2020-11-11,15543.313940013817
2020-11-12,15506.893299042507
2020-11-13,15513.397713144985
2020-11-16,15648.680350970752
2020-11-17,15530.306131309499
2020-11-18,15353.39932123044
2020-11-19,15432.74705627682
2020-11-20,15263.64146511816
2020-11-23,14809.658848281226
2020-11-24,14981.36518558023
2020-11-25,15093.23601063965
2020-11-27,15166.08239008548
2020-11-30,15486.082232416498
2020-12-01,15963.475642519139
2020-12-02,16010.3053850557
2020-12-03,15992.094045069405
2020-12-04,15902.339247459058
2020-12-07,16097.457397524415
2020-12-08,16179.409956713716
2020-12-09,15841.20183289833
2020-12-10,16031.115432181063
2020-12-11,15923.152353086347
2020-12-14,15841.20183289833
2020-12-15,16634.690397869217
2020-12-16,16625.587276627677
2020-12-17,16741.35973064794
2020-12-18,16475.99288877517
2020-12-21,16680.219257585286
2020-12-22,17155.012941048222
2020-12-23,17035.341916569047
2020-12-24,17166.718847431403
2020-12-28,17780.696797680954
2020-12-29,17543.95039735973
2020-12-30,17394.357029007864
2020-12-31,17260.376293503236
2021-01-04,16833.71527439864
2021-01-05,17041.84123316831
2021-01-06,16468.18861135284
2021-01-07,17030.13838528706
2021-01-08,17177.134066000504
2021-01-11,16777.782410620533
2021-01-12,16754.36651985161
2021-01-13,17026.235736825576
2021-01-14,16768.672152874493
2021-01-15,16538.432205657038
2021-01-19,16628.184964266096
2021-01-20,17174.526183355658
2021-01-21,17804.114727451153
2021-01-22,18090.290596948642
2021-01-25,18591.099897820204
2021-01-26,18622.319046510816
2021-01-27,18479.234170264
2021-01-28,17832.73414950206
2021-01-29,17165.417964610897
2021-02-01,17448.996146469966
2021-02-02,17559.56506920824
2021-02-03,17422.984607063907
2021-02-04,17871.758595115643
2021-02-05,17816.39155419442
2021-02-08,17835.93130351857
2021-02-09,17718.686690569786
2021-02-10,17637.913693624458
2021-02-11,17604.03976525942
2021-02-12,17635.30784998089
2021-02-16,17351.3096338569
2021-02-17,17045.160727261977
2021-02-18,16897.952990414786
2021-02-19,16918.79668106136
2021-02-22,16414.633223074256
2021-02-23,16396.39231756931
2021-02-24,16329.9494216623
2021-02-25,15761.955028415601
2021-02-26,15797.129839601139
2021-03-01,15797.129839601139
2021-03-02,15797.129839601139
2021-03-03,15797.129839601139
2021-03-04,15797.129839601139
2021-03-05,15797.129839601139
2021-03-08,15797.129839601139
2021-03-09,15797.129839601139
2021-03-10,15797.129839601139
2021-03-11,15797.129839601139
2021-03-12,15797.129839601139
2021-03-15,15797.129839601139
2021-03-16,15797.129839601139
2021-03-17,15797.129839601139
2021-03-18,15797.129839601139
2021-03-19,15797.129839601139
2021-03-22,15797.129839601139
2021-03-23,15797.129839601139
2021-03-24,15797.129839601139
2021-03-25,15797.129839601139
2021-03-26,15797.129839601139
2021-03-29,15797.129839601139
2021-03-30,15797.129839601139
2021-03-31,15797.129839601139
2021-04-01,15797.129839601139
2021-04-05,15797.129839601139
2021-04-06,15797.129839601139
2021-04-07,15797.129839601139
2021-04-08,15797.129839601139
2021-04-09,15797.129839601139
2021-04-12,15797.129839601139
2021-04-13,15797.129839601139
2021-04-14,15797.129839601139
2021-04-15,15797.129839601139
2021-04-16,15797.129839601139
2021-04-19,15797.129839601139
2021-04-20,15594.454713595964
2021-04-21,15640.141927495637
2021-04-22,15457.380236349607
2021-04-23,15736.21416561811
2021-04-26,15783.071247974518
2021-04-27,15744.40507846487
2021-04-28,15649.517377996079
2021-04-29,15637.800356932548
2021-04-30,15401.147703492754
2021-05-03,15527.669527183456
2021-05-04,14978.220086237492
2021-05-05,15007.50897159708
2021-05-06,15199.642445944317
2021-05-07,15280.620080405604
2021-05-10,14886.305648625439
2021-05-11,14775.996038038526
2021-05-12,14407.504893838593
2021-05-13,14665.681843327566
2021-05-14,14956.719627633363
2021-05-17,14818.240574779082
2021-05-18,14651.600331080715
2021-05-19,14632.82284216036
2021-05-20,14940.288293400146
2021-05-21,14719.66540492708
2021-05-24,14915.64404252474
2021-05-25,14892.174244230117
2021-05-26,14886.305648625448
2021-05-27,14886.305648625448
2021-05-28,14886.305648625448
2021-06-01,14886.305648625448
2021-06-02,14886.305648625448
2021-06-03,14886.305648625448
2021-06-04,14886.305648625448
2021-06-07,14886.305648625448
2021-06-08,14886.305648625448
2021-06-09,14886.305648625448
2021-06-10,14886.305648625448
2021-06-11,14886.305648625448
2021-06-14,14886.305648625448
2021-06-15,14886.305648625448
2021-06-16,14886.305648625448
2021-06-17,14886.305648625448
2021-06-18,14886.305648625448
2021-06-21,14886.305648625448
2021-06-22,14886.305648625448
2021-06-23,14886.305648625448
2021-06-24,14886.305648625448
2021-06-25,14886.305648625448
2021-06-28,14886.305648625448
2021-06-29,15057.503123429226
2021-06-30,15127.080734457983
2021-07-01,15161.323335793215
2021-07-02,15458.432522794285
2021-07-06,15685.952018421402
2021-07-07,15967.601815100878
2021-07-08,15820.703091773772
2021-07-09,16027.24247932547
2021-07-12,15959.868668412884
2021-07-13,16085.780380610175
2021-07-14,16473.454189769815
2021-07-15,16399.45517239992
2021-07-16,16168.62048489875
2021-07-19,15733.450209962055
2021-07-20,16142.10930448791
2021-07-21,16059.272651726535
2021-07-22,16213.902795978036
2021-07-23,16408.2910820278
2021-07-26,16455.782370514058
2021-07-27,16210.587604103983
2021-07-28,16012.882400416565
2021-07-29,16085.780380610177
2021-07-30,16110.07740632325
2021-08-02,16072.523064641158
2021-08-03,16275.7524376096
2021-08-04,16230.464949239516
2021-08-05,16242.614324977849
2021-08-06,16165.18448957275
2021-08-09,16159.65341723733
2021-08-10,16105.4575371682
2021-08-11,16134.215661785192
2021-08-12,16469.381387675716
2021-08-13,16492.608439957286
2021-08-16,16716.044778908705
2021-08-17,16613.177188051468
2021-08-18,16189.522933612203
2021-08-19,16227.132499729469
2021-08-20,16391.951552270617
2021-08-23,16560.082345158626
2021-08-24,16550.122963427668
2021-08-25,16410.75374668385
2021-08-26,16320.049337673743
2021-08-27,16437.302893893873
2021-08-30,16937.27904350755
2021-08-31,16794.580828780887
2021-09-01,16869.79996101541
2021-09-02,16995.898055681417
2021-09-03,17067.80199604189
2021-09-07,17332.169996039025
2021-09-08,17157.395013294117
2021-09-09,17042.360789062554
2021-09-10,16478.22592612159
2021-09-13,16542.381187921677
2021-09-14,16384.20632523743
2021-09-15,16484.863212924098
2021-09-16,16458.31406571408
2021-09-17,16156.336499599682
2021-09-20,15811.220020796198
2021-09-21,15865.422803919722
2021-09-22,16133.111173081708
2021-09-23,16241.513287801565
2021-09-24,16251.470943768923
2021-09-27,16080.018055952465
2021-09-28,15697.285107977319
2021-09-29,15799.053387421869
2021-09-30,15651.938943644864
2021-10-01,15779.14670430515
2021-10-04,15779.14670430515
2021-10-05,15779.14670430515
2021-10-06,15779.14670430515
2021-10-07,15779.14670430515
2021-10-08,15779.14670430515
2021-10-11,15779.14670430515
2021-10-12,15779.14670430515
2021-10-13,15779.14670430515
2021-10-14,15779.14670430515
2021-10-15,15779.14670430515
2021-10-18,15779.14670430515
2021-10-19,15779.14670430515
2021-10-20,15779.14670430515
2021-10-21,15779.14670430515
2021-10-22,15779.14670430515
2021-10-25,15779.14670430515
2021-10-26,15779.14670430515
2021-10-27,15779.14670430515
2021-10-28,15779.14670430515
2021-10-29,15779.14670430515
2021-11-01,15779.14670430515
2021-11-02,15779.14670430515
2021-11-03,15779.14670430515
2021-11-04,15779.14670430515
2021-11-05,15835.668995544533
2021-11-08,15747.743075845929
2021-11-09,15786.470466854375
2021-11-10,15483.9539013999
2021-11-11,15478.720778705521
2021-11-12,15700.636817774934
2021-11-15,15701.682137702353
2021-11-16,15806.356006940148
2021-11-17,16067.010852368228
2021-11-18,16525.49534789845
2021-11-19,16806.03247188367
2021-11-22,16855.232631338145
2021-11-23,16896.057185258705
2021-11-24,16951.537418099295
2021-11-26,16414.54140527454
2021-11-29,16773.583523497025
2021-11-30,17303.255773772562
2021-12-01,17247.773910167653
2021-12-02,17142.04819794517
2021-12-03,16941.067911181904
2021-12-06,17305.34641362741
2021-12-07,17918.760042363225
2021-12-08,18327.00232004019
2021-12-09,18272.572299419968
2021-12-10,18784.44475717162
2021-12-13,18396.089650344747
2021-12-14,18248.492433509964
2021-12-15,18768.745389088483
2021-12-16,18031.812778663567
2021-12-17,17914.573870360582
2021-12-20,17769.072185673595
2021-12-21,18108.223871517355
2021-12-22,18385.626666484626
2021-12-23,18452.616833877077
2021-12-27,18876.56174116581
2021-12-28,18767.696807632423
2021-12-29,18777.119363858077
2021-12-30,18653.59712064034
2021-12-31,18587.653903939627
2022-01-03,19052.420103620287
2022-01-04,18810.615262936462
2022-01-05,18310.252739736676
2022-01-06,18004.595322206984
2022-01-07,18022.39348396655
2022-01-10,18024.482493057072
2022-01-11,18327.00232004018
2022-01-12,18374.105316582543
2022-01-13,18024.482493057072
2022-01-14,18116.601107815583
2022-01-18,17774.30530836797
2022-01-19,17400.604249696815
2022-01-20,17220.56134600402
2022-01-21,17000.734316025133
2022-01-24,16918.036626727957
2022-01-25,16725.431945498607
2022-01-26,16716.01265080159
2022-01-27,16666.81575287575
2022-01-28,17829.783910444246
2022-01-31,18295.603583873908
2022-02-01,18295.603583873908
2022-02-02,18295.603583873908
2022-02-03,18295.603583873908
2022-02-04,18295.603583873908
2022-02-07,18295.603583873908
2022-02-08,18295.603583873908
2022-02-09,18295.603583873908
